action_id,canonical_facility_id,parameter_id,parameter,current_value,evidence_status,action,priority,recipient_department,suggested_recipient_role,required_evidence,suggested_question,request_status,last_request_date,follow_up_date,ranking_impact,source_file,audit_date
PALACE-105719-A015,CMS-105719,respiratory_trach_vent,Respiratory/tracheotomy/ventilator capabilities,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Respiratory/tracheotomy/ventilator capabilities, including scope, responsible staff, and any limitations.","Can you confirm whether Respiratory/tracheotomy/ventilator capabilities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A016,CMS-105719,hospice_palliative_arrangements,Hospice/palliative arrangements,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Hospice/palliative arrangements, including scope, responsible staff, and any limitations.","Can you confirm whether Hospice/palliative arrangements is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A017,CMS-105719,specialty_licenses,Specialty licenses,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Compliance,Facility Administrator or Compliance Officer,"Provide current dated documentation that directly verifies Specialty licenses, including scope, responsible staff, and any limitations.","Can you confirm whether Specialty licenses is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A018,CMS-105719,extended_congregate_care,Extended Congregate Care,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Extended Congregate Care, including scope, responsible staff, and any limitations.","Can you confirm whether Extended Congregate Care is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A019,CMS-105719,limited_nursing_services,Limited Nursing Services,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Limited Nursing Services, including scope, responsible staff, and any limitations.","Can you confirm whether Limited Nursing Services is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A020,CMS-105719,limited_mental_health,Limited Mental Health,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Limited Mental Health, including scope, responsible staff, and any limitations.","Can you confirm whether Limited Mental Health is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A021,CMS-105719,secured_units,Secured units,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Secured units, including scope, responsible staff, and any limitations.","Can you confirm whether Secured units is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A022,CMS-105719,sanctions_final_orders,Sanctions/final orders,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Compliance,Facility Administrator or Compliance Officer,"Provide current dated documentation that directly verifies Sanctions/final orders, including scope, responsible staff, and any limitations.","Can you confirm whether Sanctions/final orders is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A023,CMS-105719,staffing_turnover,Staffing turnover,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Staffing turnover, including scope, responsible staff, and any limitations.","Can you confirm whether Staffing turnover is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A024,CMS-105719,languages,Languages,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Human Resources / Administration,HR Director or Facility Administrator,"Provide current staff-language roster by role and shift, without personal contact details.","Are Hebrew-speaking staff currently available, in which roles, and on which shifts?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A025,CMS-105719,dietary_capabilities,Dietary capabilities,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Dietary,Registered Dietitian or Dietary Services Director,Provide therapeutic-diet policy and dietitian oversight documentation.,Can the dietary department implement medically prescribed therapeutic diets under registered-dietitian supervision?,READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A026,CMS-105719,gluten_free,Gluten-free,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Dietary,Registered Dietitian or Dietary Services Director,"Provide gluten-free diet protocol, cross-contamination controls, and dietitian oversight.","Can you provide a medically required gluten-free diet, how is cross-contamination prevented, and does a registered dietitian supervise the plan?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A027,CMS-105719,kosher,Kosher,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Dietary,Registered Dietitian or Dietary Services Director,"Provide current dated documentation that directly verifies Kosher, including scope, responsible staff, and any limitations.","Can you confirm whether Kosher is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A028,CMS-105719,religious_cultural_services,Religious/cultural services,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Religious/cultural services, including scope, responsible staff, and any limitations.","Can you confirm whether Religious/cultural services is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A029,CMS-105719,activities,Activities,YES,CLAIMED_BY_FACILITY,REQUEST_STRONGER_VERIFICATION,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Activities, including scope, responsible staff, and any limitations.","Can you confirm whether Activities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A030,CMS-105719,transportation,Transportation,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Transportation, including scope, responsible staff, and any limitations.","Can you confirm whether Transportation is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A031,CMS-105719,amenities,Amenities,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Amenities, including scope, responsible staff, and any limitations.","Can you confirm whether Amenities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A032,CMS-105719,private_shared_rooms,Private/shared rooms,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Private/shared rooms, including scope, responsible staff, and any limitations.","Can you confirm whether Private/shared rooms is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A033,CMS-105719,accessibility,Accessibility,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Resident Services,Facility Administrator or Resident Services Director,"Provide current dated documentation that directly verifies Accessibility, including scope, responsible staff, and any limitations.","Can you confirm whether Accessibility is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A034,CMS-105719,payer_information,Payer information,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,Provide the current accepted-payer list and verification requirements.,"Which Medicare, Medicaid, Medicare Advantage, commercial insurance, and private-pay options are currently accepted?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A035,CMS-105719,medicaid_attributes,Medicaid attributes,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Medicaid attributes, including scope, responsible staff, and any limitations.","Can you confirm whether Medicaid attributes is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A036,CMS-105719,published_rates,Published rates,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,Provide the current written rate sheet and all mandatory charges.,What are the current daily or monthly rates and all required additional charges?,READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A037,CMS-105719,fees,Fees,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Fees, including scope, responsible staff, and any limitations.","Can you confirm whether Fees is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A038,CMS-105719,current_availability,Current bed/unit availability,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Admissions,Admissions Director or Financial Counselor,Provide a dated census/bed-availability confirmation.,"Do you currently have an appropriate skilled-nursing or rehabilitation bed available, and what is the earliest admission date?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A039,CMS-105719,earliest_admission_date,Earliest admission date,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Earliest admission date, including scope, responsible staff, and any limitations.","Can you confirm whether Earliest admission date is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A040,CMS-105719,waiting_list,Waiting list,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Waiting list, including scope, responsible staff, and any limitations.","Can you confirm whether Waiting list is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A041,CMS-105719,current_price,Current price,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Admissions,Admissions Director or Financial Counselor,Provide a dated patient-specific price quote or current rate sheet.,What is the current expected private-pay price for a rehabilitation/skilled-nursing admission?,READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A042,CMS-105719,current_promotions,Current promotions,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,LOW,Admissions,Admissions Director or Financial Counselor,"Provide current dated documentation that directly verifies Current promotions, including scope, responsible staff, and any limitations.","Can you confirm whether Current promotions is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Primarily improves profile completeness; no current direct ranking effect proven.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A043,CMS-105719,general_rehabilitation,General Rehabilitation,YES,INFERRED,REQUEST_STRONGER_VERIFICATION,LOW,Rehabilitation,Rehabilitation Director,"Provide current dated documentation that directly verifies General Rehabilitation, including scope, responsible staff, and any limitations.","Can you confirm whether General Rehabilitation is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Primarily improves profile completeness; no current direct ranking effect proven.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
