parameter_id,parameter,value,evidence_status,confidence,source_category,source_name,source_url_or_local_file,dataset_name,dataset_field,record_identifier,retrieval_date,publication_date,evidence_quote,normalized_value,normalization_rule,scope,recency,contradictory_sources,used_by_decision_engine,used_in_eligibility,used_in_ranking,displayed_in_ui,ACTION,Priority,Recipient department,Suggested recipient role,Required evidence,Suggested question,Request status,Last request date,Follow-up date,Ranking impact
pt,Physical therapy,YES,VERIFIED,HIGH,Federal government sources,CMS Provider Staffing,backend/app/data/provider_information.csv,backend/app/data/provider_information.csv,Reported Physical Therapist Staffing Hours per Resident Per Day,105719,2026-06-01,2026-06-01,Reported physical therapist staffing hours per resident day is greater than zero.,YES,POSITIVE_REPORTED_HOURS,SERVICE,FRESH,NONE_DETECTED,YES,YES,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
ot,Occupational therapy,YES,CLAIMED_BY_FACILITY,HIGH,Facility-owned primary sources,Runtime Discovery Capability,database/florida_facility_parameter_evidence.json,Runtime Discovery Capability,UNKNOWN,capability:73,2026-07-29 05:05:24.762023,2026-07-29 05:05:24.762023,Runtime discovery observed capability 'occupational_therapy'.,YES,BEST_EVIDENCE_SELECTION,SERVICE,FRESH,NONE_DETECTED,YES,YES,YES,YES,REQUEST_STRONGER_VERIFICATION,HIGH,Rehabilitation,Rehabilitation Director,"Provide a current OT service description, staffing schedule, and therapist credentials.","Is occupational therapy currently provided on-site, and on which days and at what typical frequency?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
speech_therapy,Speech therapy,YES,CLAIMED_BY_FACILITY,HIGH,Facility-owned primary sources,Runtime Discovery Capability,database/florida_facility_parameter_evidence.json,Runtime Discovery Capability,UNKNOWN,capability:76,2026-07-29 05:05:24.763824,2026-07-29 05:05:24.763824,Runtime discovery observed capability 'speech_therapy'.,YES,BEST_EVIDENCE_SELECTION,SERVICE,FRESH,NONE_DETECTED,YES,YES,YES,YES,REQUEST_STRONGER_VERIFICATION,HIGH,Rehabilitation,Rehabilitation Director,"Provide a current speech-language pathology service description, schedule, and credentials.","Is speech therapy currently provided on-site, including swallowing and post-stroke needs, and at what frequency?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
short_term_rehab,Short-term rehabilitation,YES,VERIFIED,HIGH,Federal government sources,CMS Quality Measures,https://data.cms.gov/provider-data/dataset/djen-97ju,backend/app/data/quality_measures.csv,UNKNOWN,105719,2026-06-01,2025Q1-2025Q4,"CMS short-stay quality measures reported (codes: 430, 434, 472).",YES,BEST_EVIDENCE_SELECTION,PROGRAM,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
post_stroke_neuro_evidence,Post-stroke/neurological evidence,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,PROGRAM,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Rehabilitation,Rehabilitation Director,"Provide program documentation, protocols, staffing, admission criteria, and outcome measures for stroke and neurological rehabilitation.",Do you operate a dedicated or structured post-stroke rehabilitation program and a neurological rehabilitation program? Please describe each separately.,READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile."
therapy_staffing,Therapy staffing,YES,VERIFIED,HIGH,Federal government sources,CMS Provider Staffing,backend/app/data/provider_information.csv,backend/app/data/provider_information.csv,Reported Physical Therapist Staffing Hours per Resident Per Day,105719,2026-06-01,2026-06-01,Reported physical therapist staffing hours indicate active therapy staffing.,YES,POSITIVE_REPORTED_HOURS,SERVICE,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
memory_care,Memory Care,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,PROGRAM,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Memory Care, including scope, responsible staff, and any limitations.","Can you confirm whether Memory Care is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
dementia_alz_programs,Dementia/Alzheimer programs,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,PROGRAM,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Dementia/Alzheimer programs, including scope, responsible staff, and any limitations.","Can you confirm whether Dementia/Alzheimer programs is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
wound_care,Wound care,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,SERVICE,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Wound care, including scope, responsible staff, and any limitations.","Can you confirm whether Wound care is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
dialysis_arrangements,Dialysis arrangements,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,SERVICE,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Dialysis arrangements, including scope, responsible staff, and any limitations.","Can you confirm whether Dialysis arrangements is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
respiratory_trach_vent,Respiratory/tracheotomy/ventilator capabilities,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,SERVICE,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Respiratory/tracheotomy/ventilator capabilities, including scope, responsible staff, and any limitations.","Can you confirm whether Respiratory/tracheotomy/ventilator capabilities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
hospice_palliative_arrangements,Hospice/palliative arrangements,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,SERVICE,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Hospice/palliative arrangements, including scope, responsible staff, and any limitations.","Can you confirm whether Hospice/palliative arrangements is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
specialty_licenses,Specialty licenses,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Compliance,Facility Administrator or Compliance Officer,"Provide current dated documentation that directly verifies Specialty licenses, including scope, responsible staff, and any limitations.","Can you confirm whether Specialty licenses is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
extended_congregate_care,Extended Congregate Care,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,PROGRAM,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Extended Congregate Care, including scope, responsible staff, and any limitations.","Can you confirm whether Extended Congregate Care is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
limited_nursing_services,Limited Nursing Services,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,PROGRAM,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Limited Nursing Services, including scope, responsible staff, and any limitations.","Can you confirm whether Limited Nursing Services is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
limited_mental_health,Limited Mental Health,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,PROGRAM,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Limited Mental Health, including scope, responsible staff, and any limitations.","Can you confirm whether Limited Mental Health is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
secured_units,Secured units,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,PROGRAM,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Secured units, including scope, responsible staff, and any limitations.","Can you confirm whether Secured units is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
inspection_rating,Inspection rating,4,VERIFIED,HIGH,Federal government sources,CMS Provider Information.Health Inspection Rating,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Health Inspection Rating,Health Inspection Rating,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Inspection rating,4,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
deficiency_count,Deficiency count,14,VERIFIED,HIGH,Federal government sources,CMS Health Deficiencies,https://data.cms.gov/provider-data/dataset/r5ix-sfxw,CMS Health Deficiencies,UNKNOWN,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Deficiency count,14,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
deficiency_severity,Deficiency severity,0,VERIFIED,HIGH,Federal government sources,CMS Health Deficiencies,https://data.cms.gov/provider-data/dataset/r5ix-sfxw,CMS Health Deficiencies,UNKNOWN,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Severe deficiency count,0,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
complaint_related_findings,Complaint-related findings,0,VERIFIED,HIGH,Federal government sources,CMS Health Deficiencies,https://data.cms.gov/provider-data/dataset/r5ix-sfxw,CMS Health Deficiencies,UNKNOWN,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Complaint deficiency count,0,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
fire_safety_deficiencies,Fire safety deficiencies,4,VERIFIED,HIGH,Federal government sources,CMS Fire Safety Deficiencies,https://data.cms.gov/provider-data/dataset/r5ix-sfxw,CMS Fire Safety Deficiencies,UNKNOWN,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Fire safety deficiencies,4,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
infection_control_findings,Infection control findings,0,VERIFIED,HIGH,Federal government sources,CMS Health Deficiencies,https://data.cms.gov/provider-data/dataset/r5ix-sfxw,CMS Health Deficiencies,UNKNOWN,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Infection control findings,0,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
penalties_fines,Penalties/fines,0,VERIFIED,HIGH,Federal government sources,CMS Provider Information.Total Amount of Fines in Dollars,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Total Amount of Fines in Dollars,Total Amount of Fines in Dollars,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Total fines,0,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
sanctions_final_orders,Sanctions/final orders,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Administration / Compliance,Facility Administrator or Compliance Officer,"Provide current dated documentation that directly verifies Sanctions/final orders, including scope, responsible staff, and any limitations.","Can you confirm whether Sanctions/final orders is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
payment_denials,Payment denials,0,VERIFIED,HIGH,Federal government sources,CMS Provider Information.Number of Payment Denials,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Number of Payment Denials,Number of Payment Denials,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Payment denials,0,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
quality_measures,Quality measures,17,VERIFIED,HIGH,Federal government sources,CMS MDS Quality Measures,https://data.cms.gov/provider-data/dataset/djen-97ju,CMS MDS Quality Measures,UNKNOWN,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Quality measures available,17,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
hospital_claims_outcomes,Hospital/claims outcomes,401: Percentage of long-stay residents whose need for help with daily activities has increased (score 11.186441); 430: Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine (score 99.840510); 434: Percentage of short-stay residents who newly received an antipsychotic medication (score 1.058201); 451: Percentage of long-stay residents whose ability to walk independently worsened (score 6.634095); 472: Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine (score 99.484536),VERIFIED,HIGH,Federal government sources,CMS Quality Measures,https://data.cms.gov/provider-data/dataset/djen-97ju,backend/app/data/quality_measures.csv,UNKNOWN,105719,2026-06-01,2025Q1-2025Q4,Patient-relevant CMS quality outcomes are available for this facility.,401: Percentage of long-stay residents whose need for help with daily activities has increased (score 11.186441); 430: Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine (score 99.840510); 434: Percentage of short-stay residents who newly received an antipsychotic medication (score 1.058201); 451: Percentage of long-stay residents whose ability to walk independently worsened (score 6.634095); 472: Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine (score 99.484536),BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
staffing_turnover,Staffing turnover,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Staffing turnover, including scope, responsible staff, and any limitations.","Can you confirm whether Staffing turnover is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.
languages,Languages,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Human Resources / Administration,HR Director or Facility Administrator,"Provide current staff-language roster by role and shift, without personal contact details.","Are Hebrew-speaking staff currently available, in which roles, and on which shifts?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
dietary_capabilities,Dietary capabilities,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Dietary,Registered Dietitian or Dietary Services Director,Provide therapeutic-diet policy and dietitian oversight documentation.,Can the dietary department implement medically prescribed therapeutic diets under registered-dietitian supervision?,READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
